codigo;oem;descripcion;modelos;precio
2269/00;9L55-7A508-AA;CRAPODINA EMBRAGUE HIDRAULICO;F-100/RANGER/EXPLORER;13595
2269/01;XS41-7A564-EA;CRAPODINA EMBRAGUE HIDRAULICO;FIESTA/FOCUS/KA/COUR.96/ ZETEC/ENDURA;10088
2269/02;2S65-7A564-AA;CRAPODINA EMBRAGUE HIDRAULICO;FIESTA/FOCUS/ECOSPORT 03/ ROCAM/DURATEC;11908
2269/03;XS41-7A564-AC;CRAPODINA EMBRAGUE HIDRAULICO;FOCUS 99/  ZETEC/DIESEL;14807
2269/04;94ZT-7A564-AA;CRAPODINA EMBRAGUE HIDRAULICO;MONDEO 94/  ZETEC/DURATEC;15745
2269/05;F87Z-7A512-AA;CAÑO CONEXION BOMBA A CRAPODINA EMBRAGUE;RANGER/EXPLORER;9014
2269/12;2C34-7C522-CB;CAÑO CONEXION BOMBA PEDAL EMBRAGUE;F-250/4000/14000/CARGO;4687
2269/13;2C34-7C522-DA;CAÑO CONEXION BOMBA PEDAL EMBRAGUE;F-100 XLT 99/   DUTTY;5750
2269/19;4C11-7C559-AG;CRAPODINA EMBRAGUE HIDRAULICO;RANGER 12/  2.2/3.2 M.PUMA;11434
2269/20;4C11-7C559-AG;CRAPODINA EMBRAGUE HIDRAULICO;TRANSIT 10/14 2.4 TDCI;11434
2270/13;XC35-7C522-X;VARILLA BOMBA PEDAL DE EMBRAGUE;F-100 DUTY/250/4000 CUMMINS;1784
2270/14;XC35-7C522-AC;"KIT BOMBA PEDAL EMBRAGUE ""PAULUCCI""";F-100 DUTY/250/4000 CUMMINS;27747
2270/15;XC35-7C522-AC;"BOMBA PEDAL EMBRAGUE ""PAULUCCI""";F-100 DUTY/250/4000 CUMMINS;9726
2270/16;2SL-721405;"KIT BOMBA PEDAL EMBRAGUE ""PAULUCCI""";F-14000 CUMMINS;10235
2276/05;89FB-7503-AD;EJE DE EMBRAGUE;FIESTA ESPANOL 94/95 NAFTA/DIESEL;3291
2276/06;91AB-7503-AG;EJE DE EMBRAGUE;ESCORT/FIESTA/COURIER  97/   DIESEL;4585
2276/10;89AB-7541-AA;PALANCA EJE DE EMBRAGUE;FIESTA ESPAÑOL 94/95 NAFTA;3579
2276/11;91AB-7L588-AA;KIT PALANCA EJE DE EMBRAGUE;FIESTA 94/95/FIESTA 97/   DIESEL;4141
2276/13;_;GOMA PALANCA DE EMBRAGUE ;ESCORT/FIESTA;746
2276/14;95WT-7L588-AA;KIT PALANCA EJE DE EMBRAGUE;ESCORT 97/  ZETEC/DIESEL;4141
2276/15;2S45-7515-AA;KIT PALANCA EJE DE EMBRAGUE;ESCORT 99/   1.8 TDI;4141
2276/18;_;CONTRAPESO PALANCA CON GOMA;ESCORT 97/ /FIESTA 94/96 DIESEL;3098
2277/00;BA-C9OZ-7515-A;HORQUILLA DE EMBRAGUE;FALCON/F-100 6 CIL.;2695
2278/00;BA-C9OZ-7515-B;HORQUILLA DE EMBRAGUE;F-100 MAX ECONO/FAIRLANE;3236
2279/00;BA-E7TZ-7515-A;HORQUILLA DE EMBRAGUE ;F-100/700 8 CIL./DIESEL;9126
2279/02;TPH-141857;HORQUILLA DE EMBRAGUE ;F-14000 93/96;9126
2279/03;TPH-141857;HORQUILLA DE EMBRAGUE ;F-100/150(4X4)/F-4000/14000 96/ MWM;2850
2279/06;1C35-7515-AA;HORQUILLA DE EMBRAGUE;F-100/250 DUTY M.CUMMINS;6579
2279/20;95VB-7515-DC;HORQUILLA DE EMBRAGUE ;TRANSIT 96/;10914
2279/80;TEG-141857;HORQUILLA DE EMBRAGUE ;F-100/4000 92/96 MWM;9126
2279/FM;BA-E7TZ-7515-A;HORQUILLA DE EMBRAGUE ;F-100/700 8 CIL./DIESEL;2460
2280/00;74BR-7515-C;HORQUILLA DE EMBRAGUE;TAUNUS/FALCON 2.3;4047
2280/01;BA-C7DS-7513-A;GUARDAPOLVO HORQUILLA EMBRAGUE;F-100/700 DIESEL;478
2280/91;4C11-7C560-AB;ADAPTADOR CILINDRO EMBRAGUE;TRANSIT 10/14 2.4 TDCI;4692
2281/11;BA-450020-S;"BULON PLACA EMBRAGUE (3/8"") CON GUIA";FALCON/F-100 69/;261
